A,B,M,N
59,65,47,41
59,65,41,35
59,65,35,29
59,65,29,23
59,65,23,17
59,65,17,11
59,65,11,5
5,41,7,39
5,41,39,9
5,41,9,37
5,41,37,11
5,41,11,35
5,41,35,13
5,41,13,33
5,41,33,15
5,41,15,31
5,41,31,17
5,43,7,41
5,43,41,9
5,43,9,39
5,43,39,11
5,43,11,37
5,43,37,13
5,43,13,35
5,43,35,15
5,43,15,33
5,43,33,17
5,45,8,42
5,45,42,11
5,45,11,39
5,45,39,14
5,45,14,36
5,45,36,17
5,45,17,33
5,45,33,20
5,45,20,30
5,45,30,23
5,47,8,44
5,47,44,11
5,47,11,41
5,47,41,14
5,47,14,38
5,47,38,17
5,47,17,35
5,47,35,20
5,47,20,32
5,47,32,23
5,49,8,46
5,49,46,11
5,49,11,43
5,49,43,14
5,49,14,40
5,49,40,17
5,49,17,37
5,49,37,20
5,49,20,34
5,49,34,23
5,51,8,48
5,51,48,11
5,51,11,45
5,51,45,14
5,51,14,42
5,51,42,17
5,51,17,39
5,51,39,20
5,51,20,36
5,51,36,23
5,53,8,50
5,53,50,11
5,53,11,47
5,53,47,14
5,53,14,44
5,53,44,17
5,53,17,41
5,53,41,20
5,53,20,38
5,53,38,23
5,55,8,52
5,55,52,11
5,55,11,49
5,55,49,14
5,55,14,46
5,55,46,17
5,55,17,43
5,55,43,20
5,55,20,40
5,55,40,23
5,57,8,54
5,57,54,11
5,57,11,51
5,57,51,14
5,57,14,48
5,57,48,17
5,57,17,45
5,57,45,20
5,57,20,42
5,57,42,23
5,59,8,56
5,59,56,11
5,59,11,53
5,59,53,14
5,59,14,50
5,59,50,17
5,59,17,47
5,59,47,20
5,59,20,44
5,59,44,23
5,61,9,57
5,61,57,13
5,61,13,53
5,61,53,17
5,61,17,49
5,61,49,21
5,61,21,45
5,61,45,25
5,61,25,41
5,61,41,29
5,63,9,59
5,63,59,13
5,63,13,55
5,63,55,17
5,63,17,51
5,63,51,21
5,63,21,47
5,63,47,25
5,63,25,43
5,63,43,29
5,65,9,61
5,65,61,13
5,65,13,57
5,65,57,17
5,65,17,53
5,65,53,21
5,65,21,49
5,65,49,25
5,65,25,45
5,65,45,29
5,67,9,63
5,67,63,13
5,67,13,59
5,67,59,17
5,67,17,55
5,67,55,21
5,67,21,51
5,67,51,25
5,67,25,47
5,67,47,29
5,69,9,65
5,69,65,13
5,69,13,61
5,69,61,17
5,69,17,57
5,69,57,21
5,69,21,53
5,69,53,25
5,69,25,49
5,69,49,29
5,71,9,67
5,71,67,13
5,71,13,63
5,71,63,17
5,71,17,59
5,71,59,21
5,71,21,55
5,71,55,25
5,71,25,51
5,71,51,29
6,7,8,9
6,7,9,10
6,7,10,11
6,7,11,12
6,7,12,13
6,7,13,14
6,7,14,15
6,7,15,16
6,7,16,17
6,7,17,18
17,18,19,20
17,18,20,21
17,18,21,22
17,18,22,23
17,18,23,24
17,18,24,25
17,18,25,26
17,18,26,27
17,18,27,28
17,18,28,29
17,18,16,15
17,18,15,14
17,18,14,13
17,18,13,12
17,18,12,11
17,18,11,10
17,18,10,9
17,18,9,8
